trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-263.71072241835833,"{0: 10, 1: 8, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-97.52942524238223,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-127.35758271373278,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-226.28294734737204,"{0: 13, 1: 0, 2: 6, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-28.67093183974329,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-12.85807490741974,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-38.073021337196096,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-55.79830433852522,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,15,-18.60567342569471,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,11,-88.83671357434254,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,10,-20.52381115442099,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-70.4768475033977,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-52.610815132834816,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,19.972757971802803,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,7.532444683819897,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-131.57066341501215,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,27.184567303839838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,-35.42825407550212,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,21.73266374227086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,46.022128896671475,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,14,11.64403437857186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,12,23.63716510601959,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,12,11.799785284064589,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.123837377994853,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,8,21.401569033097232,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,2,-12.203328381381812,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,13,21.986762479607265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,17.70292045938533,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,6,-18.63867281116922,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,5,27.62134593978686,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
