trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-239.7304985345169,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9935210793034477}",25,0,-136.34306331860355,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9870841350202876}",20,0,-50.750435870966,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9806888951886662}",30,0,-136.20807304839477,"{0: 16, 1: 8, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9743350896087494}",25,0,-107.84833994504467,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.968022449831306}",25,0,-127.28190960434948,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9617507091463667}",30,0,-163.1243672553488,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9555196025719545}",25,0,-67.94354586958936,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9493288668428896}",25,0,-132.80742832249845,"{0: 16, 1: 2, 2: 2, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9431782403996667}",20,0,-61.88423188708097,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-194.8471314134289,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9309962775948618}",20,0,-40.55694567669722,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-72.17588616655864,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9189716553768317}",20,0,-23.610064746701163,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9130177108992658}",20,0,-78.72598072728522,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9071023415558017}",25,0,-104.84993845368936,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9012252974212048}",30,0,-54.047044990497696,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.895386330189486}",25,0,-55.49840401716727,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8895851931634113}",25,0,-65.70198933293456,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8838216412440785}",25,0,-122.97145178841674,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-193.9459607255127,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8724063202596221}",20,0,-106.20785134810936,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.866754068895489}",20,0,-98.33180164276403,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.861138438019701}",30,0,-179.17935776601593,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8555591903710185}",20,0,-86.81040356568337,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8500160902253981}",30,0,-170.91824605217442,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8445089033860343}",30,16,-110.2272289153398,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.8390373971734638}",20,9,-29.843903870173524,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8336013404157353}",35,0,-95.84106347862601,"{0: 24, 1: 3, 2: 5, 3: 3, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.828200503438642}",20,0,-149.22855197719346,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,0,-38.13417320311504,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8175035775600987}",25,0,-6.277806989924997,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8122070367119391}",20,0,-49.007259721424894,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8069448117319006}",25,0,-249.09774075954488,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
35,False,"{'a': 0.5, 'e': 0.8017166802901953}",25,0,-76.15560784554785,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.796522421497492}",25,8,-52.43272841252929,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
