trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-91.93875684116357,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-112.06930460392611,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-132.2484134291717,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-85.91061683867959,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-81.53219680013254,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-50.33124787389232,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-125.8219194190953,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-263.9835563485395,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.6278571302,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-52.79848642446235,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-125.3874117758242,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-23.864740670542528,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-142.94102187199678,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-113.19056881907557,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-79.69705944789426,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,16,-59.71507358043009,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-267.70829381368594,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-319.85880452937107,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 6}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-114.35033798598106,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-52.425536847183025,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-153.98784572948392,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-82.04949505287841,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-164.0208096311433,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-34.61129330683336,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",35,13,-76.37224605333034,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,5,-68.92964086817793,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-164.5741324255565,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-9.273970416448204,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-217.45774375508168,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-170.10513057608173,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
